orig_index,pclass,sex,age,sibsp,parch,fare,embarked,alone,true_label,predicted,correct,confidence
553,3,male,22.0,0,0,7.225,C,1,1,0,False,0.857
279,3,female,35.0,1,1,20.25,S,0,1,0,False,0.521
712,1,male,48.0,1,0,52.0,S,0,1,0,False,0.665
455,3,male,29.0,0,0,7.8958,C,1,1,0,False,0.886
65,3,male,,1,1,15.2458,C,0,1,0,False,0.883
489,3,male,9.0,1,1,15.9,S,0,1,0,False,0.834
869,3,male,4.0,1,1,11.1333,S,0,1,0,False,0.808
165,3,male,9.0,0,2,20.525,S,0,1,0,False,0.803
297,1,female,2.0,1,2,151.55,S,0,0,1,False,0.965
564,3,female,,0,0,8.05,S,1,0,1,False,0.534
502,3,female,,0,0,7.6292,Q,1,0,1,False,0.696
17,2,male,,0,0,13.0,S,1,1,0,False,0.783
701,1,male,35.0,0,0,26.2875,S,1,1,0,False,0.609
447,1,male,34.0,0,0,26.55,S,1,1,0,False,0.6
578,3,female,,1,0,14.4583,C,0,0,1,False,0.66
690,1,male,31.0,1,0,57.0,S,0,1,0,False,0.511
38,3,female,18.0,2,0,18.0,S,0,0,1,False,0.586
593,3,female,,0,2,7.75,Q,0,0,1,False,0.736
501,3,female,21.0,0,0,7.75,Q,1,0,1,False,0.751
452,1,male,30.0,0,0,27.75,C,1,0,1,False,0.517
55,1,male,,0,0,35.5,S,1,1,0,False,0.546
570,2,male,62.0,0,0,10.5,S,1,1,0,False,0.927
271,3,male,25.0,0,0,0.0,S,1,1,0,False,0.904
23,1,male,28.0,0,0,35.5,S,1,1,0,False,0.542
146,3,male,27.0,0,0,7.7958,S,1,1,0,False,0.909
336,1,male,29.0,1,0,66.6,S,0,0,1,False,0.512
799,3,female,30.0,1,1,24.15,S,0,0,1,False,0.527
607,1,male,27.0,0,0,30.5,S,1,1,0,False,0.535
549,2,male,8.0,1,1,36.75,S,0,1,0,False,0.617
444,3,male,,0,0,8.1125,S,1,1,0,False,0.913
587,1,male,60.0,1,1,79.2,C,0,1,0,False,0.723
804,3,male,27.0,0,0,6.975,S,1,1,0,False,0.909
293,3,female,24.0,0,0,8.85,S,1,0,1,False,0.575
199,2,female,24.0,0,0,13.0,S,1,0,1,False,0.797
295,1,male,,0,0,27.7208,C,1,0,1,False,0.531
